"run","model","control","duration","cattle_culled","sheep_culled","cattlesheep_culled","cattle_vacc"
35,"B","ipdc",528,58671,202491,0,0
36,"B","ipdc",330,66069,268664,0,0
37,"B","ipdc",378,57980,215811,0,0
38,"B","ipdc",677,53450,197482,0,0
39,"B","ipdc",730,64500,241313,0,0
40,"B","ipdc",409,72161,262076,0,0
41,"B","ipdc",375,56050,180826,0,0
42,"B","ipdc",453,60534,225038,0,0
43,"B","ipdc",307,63702,252571,0,0
44,"B","ipdc",450,60305,207818,0,0
45,"B","ipdc",45,1752,8262,0,0
46,"B","ipdc",451,58929,225229,0,0
47,"B","ipdc",386,57068,192733,0,0
48,"B","ipdc",455,48282,191803,0,0
49,"B","ipdc",354,42213,140744,0,0
50,"B","ipdc",489,71504,275246,0,0
51,"B","ipdc",452,77016,259250,0,0
52,"B","ipdc",51,1025,5177,0,0
53,"B","ipdc",353,50958,185322,0,0
54,"B","ipdc",50,2121,8865,0,0
55,"B","ipdc",530,55863,186852,0,0
56,"B","ipdc",428,63581,273938,0,0
57,"B","ipdc",637,36376,127736,0,0
58,"B","ipdc",455,46906,146360,0,0
59,"B","ipdc",718,58952,191480,0,0
60,"B","ipdc",503,56052,231549,0,0
61,"B","ipdc",538,60993,239624,0,0
62,"B","ipdc",453,40944,115197,0,0
63,"B","ipdc",427,74705,257593,0,0
64,"B","ipdc",405,70289,246024,0,0
65,"B","ipdc",404,31429,133131,0,0
66,"B","ipdc",508,39890,171553,0,0
67,"B","ipdc",379,63438,199492,0,0
68,"B","ipdc",442,58433,218806,0,0
69,"B","ipdc",47,889,4065,0,0
70,"B","ipdc",426,60465,215109,0,0
71,"B","ipdc",394,66542,246205,0,0
72,"B","ipdc",363,63121,234402,0,0
73,"B","ipdc",453,61972,253046,0,0
74,"B","ipdc",447,67955,227898,0,0
75,"B","ipdc",354,65986,242154,0,0
76,"B","ipdc",423,63438,214416,0,0
77,"B","ipdc",397,52976,161043,0,0
78,"B","ipdc",416,50800,158537,0,0
79,"B","ipdc",26,199,4276,0,0
80,"B","ipdc",538,54304,204991,0,0
81,"B","ipdc",538,68878,215783,0,0
82,"B","ipdc",393,44388,139619,0,0
83,"B","ipdc",413,61445,218531,0,0
84,"B","ipdc",379,73366,290708,0,0
85,"B","ipdc",438,57403,177525,0,0
86,"B","ipdc",387,58856,179872,0,0
87,"B","ipdc",340,26775,94998,0,0
88,"B","ipdc",406,58060,218054,0,0
89,"B","ipdc",478,41274,168126,0,0
90,"B","ipdc",538,43198,200883,0,0
91,"B","ipdc",575,59862,241329,0,0
92,"B","ipdc",368,41892,161503,0,0
93,"B","ipdc",444,63414,236296,0,0
94,"B","ipdc",361,16378,84560,0,0
95,"B","ipdc",276,59558,194287,0,0
96,"B","ipdc",102,4106,15068,0,0
97,"B","ipdc",108,2639,15059,0,0
98,"B","ipdc",563,55633,211380,0,0
99,"B","ipdc",55,613,5949,0,0
100,"B","ipdc",593,69181,271668,0,0
1,"B","v03",401,2640,14245,0,32232
2,"B","v03",117,4985,25821,0,45434
3,"B","v03",307,11650,84184,0,89558
4,"B","v03",267,6792,42417,0,87596
5,"B","v03",91,1531,10963,0,23459
6,"B","v03",196,4044,34422,0,48484
7,"B","v03",125,2726,13581,0,42222
8,"B","v03",124,4703,30413,0,72799
9,"B","v03",155,3203,19328,0,40627
10,"B","v03",210,9418,54281,0,106795
11,"B","v03",113,5113,26966,0,51058
12,"B","v03",164,9206,44295,0,98321
13,"B","v03",40,840,3978,0,10453
14,"B","v03",126,6872,37392,0,67153
15,"B","v03",61,823,4886,0,8993
16,"B","v03",170,4285,18951,0,48774
17,"B","v03",79,2489,10846,0,31543
18,"B","v03",87,2485,18926,0,47006
19,"B","v03",129,3573,20864,0,41716
20,"B","v03",157,6289,29687,0,80007
21,"B","v03",126,2347,16684,0,30619
22,"B","v03",99,1504,9163,0,27895
23,"B","v03",68,2041,16008,0,20184
24,"B","v03",180,8589,59088,0,89610
25,"B","v03",60,1517,9605,0,20311
26,"B","v03",277,8819,62075,0,105434
27,"B","v03",59,1825,9022,0,22334
28,"B","v03",89,2766,11648,0,27839
29,"B","v03",111,2161,12778,0,19717
30,"B","v03",92,4283,24109,0,42522
31,"B","v03",150,4028,17887,0,64089
32,"B","v03",298,12974,84498,0,107223
33,"B","v03",161,7241,48158,0,76599
34,"B","v03",184,8534,55359,0,64813
35,"B","v03",131,4406,27703,0,53731
36,"B","v03",129,3577,11550,0,39504
37,"B","v03",76,2436,7955,0,35663
38,"B","v03",110,1981,13723,0,27856
39,"B","v03",52,2671,13778,0,10673
40,"B","v03",159,4999,22427,0,64814
41,"B","v03",92,3885,19041,0,40490
42,"B","v03",97,5401,31771,0,61388
43,"B","v03",145,5449,27257,0,73561
44,"B","v03",91,1669,13868,0,31840
45,"B","v03",161,8615,56593,0,75389
46,"B","v03",128,2868,13511,0,44141
47,"B","v03",161,3767,12626,0,41942
48,"B","v03",103,4695,28894,0,48660
49,"B","v03",190,4302,13076,0,50736
50,"B","v03",118,4605,34113,0,48364
51,"B","v03",52,955,9008,0,10846
52,"B","v03",94,2768,13704,0,37122
53,"B","v03",73,1416,13673,0,17177
54,"B","v03",78,1054,8207,0,27928
55,"B","v03",249,6231,32371,0,73651
56,"B","v03",91,1161,11689,0,18516
57,"B","v03",115,2364,18954,0,26153
58,"B","v03",137,6937,33643,0,70233
59,"B","v03",123,5278,14383,0,58551
60,"B","v03",354,9319,75965,0,78509
61,"B","v03",126,4528,22605,0,38975
62,"B","v03",55,1681,12724,0,18185
63,"B","v03",136,3543,37727,0,50890
64,"B","v03",86,1757,9443,0,36222
65,"B","v03",103,4908,21566,0,58420
66,"B","v03",95,3061,21169,0,38301
67,"B","v03",81,1808,11045,0,15596
68,"B","v03",156,3931,44403,0,40824
69,"B","v03",144,2609,20714,0,29656
70,"B","v03",133,5554,20166,0,46826
71,"B","v03",249,8025,48853,0,68520
72,"B","v03",140,5202,30351,0,78113
73,"B","v03",60,1152,6360,0,12721
74,"B","v03",114,3986,23992,0,44890
75,"B","v03",61,1485,9990,0,24351
76,"B","v03",79,2468,11833,0,26884
