"run","model","control","duration","cattle_culled","sheep_culled","cattlesheep_culled","cattle_vacc"
36,"D","ipdc",46,10822,23434,0,0
37,"D","ipdc",37,3596,19285,0,0
38,"D","ipdc",23,2859,10568,0,0
39,"D","ipdc",43,8501,48760,0,0
40,"D","ipdc",59,5216,8133,0,0
41,"D","ipdc",49,11171,61624,0,0
42,"D","ipdc",30,1350,10769,0,0
43,"D","ipdc",34,5480,6483,0,0
44,"D","ipdc",37,6294,14972,0,0
45,"D","ipdc",56,6592,11377,0,0
46,"D","ipdc",42,3748,12188,0,0
47,"D","ipdc",44,5205,17364,0,0
48,"D","ipdc",41,8838,20678,0,0
49,"D","ipdc",21,1127,2074,0,0
50,"D","ipdc",36,3378,10040,0,0
51,"D","ipdc",41,5056,35061,0,0
52,"D","ipdc",37,8526,14174,0,0
53,"D","ipdc",54,13114,41648,0,0
54,"D","ipdc",45,4959,9849,0,0
55,"D","ipdc",43,2700,19113,0,0
56,"D","ipdc",20,621,4896,0,0
57,"D","ipdc",99,10991,22621,0,0
58,"D","ipdc",46,8344,18724,0,0
59,"D","ipdc",52,10377,28314,0,0
60,"D","ipdc",41,2522,8749,0,0
61,"D","ipdc",31,4024,15198,0,0
62,"D","ipdc",51,3390,8419,0,0
63,"D","ipdc",38,8443,45467,0,0
64,"D","ipdc",31,4891,18717,0,0
65,"D","ipdc",87,13378,81933,0,0
66,"D","ipdc",91,10094,24349,0,0
67,"D","ipdc",34,1716,4148,0,0
68,"D","ipdc",49,8791,63748,0,0
69,"D","ipdc",45,4833,8622,0,0
70,"D","ipdc",36,4602,6536,0,0
71,"D","ipdc",51,20498,62724,0,0
72,"D","ipdc",49,10840,24790,0,0
73,"D","ipdc",36,6235,31165,0,0
74,"D","ipdc",35,2576,23690,0,0
75,"D","ipdc",62,15047,51304,0,0
76,"D","ipdc",50,5322,15084,0,0
77,"D","ipdc",47,2262,14488,0,0
78,"D","ipdc",89,15031,55118,0,0
79,"D","ipdc",20,2318,3892,0,0
80,"D","ipdc",45,7147,20068,0,0
81,"D","ipdc",31,3743,17408,0,0
82,"D","ipdc",34,3907,19368,0,0
83,"D","ipdc",32,2221,11352,0,0
