"run","model","control","duration","cattle_culled","sheep_culled","cattlesheep_culled","cattle_vacc"
63,"D","v10",31,2404,2004,0,98667
64,"D","v10",45,1715,11783,0,131730
65,"D","v10",32,2345,8177,0,142006
66,"D","v10",46,3223,5100,0,128667
67,"D","v10",51,2882,17450,0,154780
68,"D","v10",23,1290,2302,0,140127
69,"D","v10",27,1810,3485,0,124670
70,"D","v10",31,986,6297,0,89331
71,"D","v10",44,2075,7692,0,128992
72,"D","v10",24,1898,2754,0,145337
73,"D","v10",33,2672,4606,0,141367
74,"D","v10",63,4148,31090,0,156585
75,"D","v10",31,1355,3289,0,111424
76,"D","v10",42,1759,3316,0,114087
77,"D","v10",37,2733,13061,0,147219
78,"D","v10",26,736,1894,0,90486
79,"D","v10",24,1194,2667,0,107772
80,"D","v10",44,2401,11502,0,135799
81,"D","v10",39,2661,13502,0,89661
82,"D","v10",35,2533,5031,0,136617
83,"D","v10",28,1381,6847,0,89958
84,"D","v10",57,1665,11964,0,130133
85,"D","v10",31,1763,4711,0,138578
86,"D","v10",36,4009,7630,0,110659
87,"D","v10",19,451,2309,0,96151
88,"D","v10",29,1560,2740,0,122612
89,"D","v10",47,1214,16695,0,137586
90,"D","v10",42,1326,10913,0,74213
91,"D","v10",51,3383,15880,0,126960
92,"D","v10",65,2385,11481,0,95474
93,"D","v10",44,3095,13068,0,124763
94,"D","v10",41,3141,7261,0,144147
95,"D","v10",43,3289,11069,0,121013
96,"D","v10",46,1636,5914,0,125568
97,"D","v10",53,1361,2502,0,104244
98,"D","v10",39,1345,9077,0,88484
99,"D","v10",34,2570,3023,0,131360
100,"D","v10",39,1614,12389,0,120151
