"run","model","control","duration","cattle_culled","sheep_culled","cattlesheep_culled","cattle_vacc"
35,"C","ipdc",76,810,1351,8058,0
36,"C","ipdc",98,1439,400,5877,0
37,"C","ipdc",241,4923,2869,19923,0
38,"C","ipdc",239,1573,1330,16383,0
39,"C","ipdc",110,2047,652,5768,0
40,"C","ipdc",206,2131,3513,22321,0
41,"C","ipdc",85,919,514,6391,0
42,"C","ipdc",156,3361,3840,35773,0
43,"C","ipdc",200,1156,1810,25192,0
44,"C","ipdc",120,929,629,10022,0
45,"C","ipdc",64,1043,428,5673,0
46,"C","ipdc",205,4739,2805,13005,0
47,"C","ipdc",70,1132,485,4885,0
48,"C","ipdc",46,420,273,3053,0
49,"C","ipdc",188,1255,1339,9024,0
50,"C","ipdc",316,2850,2049,16377,0
51,"C","ipdc",266,2695,5682,21415,0
52,"C","ipdc",49,208,386,3229,0
53,"C","ipdc",329,2039,6627,20666,0
54,"C","ipdc",221,4017,3079,28879,0
55,"C","ipdc",217,2175,1684,7113,0
56,"C","ipdc",58,220,550,3440,0
57,"C","ipdc",140,2545,2849,30173,0
58,"C","ipdc",194,2838,2704,10564,0
59,"C","ipdc",97,359,428,8152,0
60,"C","ipdc",39,617,267,3613,0
61,"C","ipdc",301,3736,7486,41956,0
62,"C","ipdc",133,1590,679,4573,0
63,"C","ipdc",46,217,220,2847,0
64,"C","ipdc",141,1627,763,8940,0
65,"C","ipdc",42,420,202,3172,0
66,"C","ipdc",280,2817,6059,32238,0
67,"C","ipdc",60,576,333,5099,0
68,"C","ipdc",92,915,983,6045,0
69,"C","ipdc",47,208,147,3169,0
70,"C","ipdc",163,1876,1623,14226,0
71,"C","ipdc",172,1106,1477,13895,0
72,"C","ipdc",310,2696,4326,35485,0
73,"C","ipdc",142,1146,2610,17970,0
74,"C","ipdc",53,278,297,2728,0
75,"C","ipdc",104,1287,789,7670,0
76,"C","ipdc",210,2788,3389,18634,0
77,"C","ipdc",330,6738,5435,35679,0
78,"C","ipdc",95,273,598,5259,0
79,"C","ipdc",136,626,817,9399,0
80,"C","ipdc",65,208,352,4031,0
81,"C","ipdc",123,2232,640,6084,0
82,"C","ipdc",29,208,170,2211,0
83,"C","ipdc",91,274,388,6410,0
84,"C","ipdc",71,1706,262,3045,0
85,"C","ipdc",168,473,1133,11522,0
86,"C","ipdc",348,3852,3230,29129,0
87,"C","ipdc",264,4012,6556,25941,0
88,"C","ipdc",86,665,651,5411,0
89,"C","ipdc",33,208,417,2323,0
90,"C","ipdc",76,715,705,5226,0
91,"C","ipdc",110,1052,789,16724,0
92,"C","ipdc",26,208,445,2489,0
93,"C","ipdc",59,605,403,3622,0
94,"C","ipdc",61,806,432,4973,0
95,"C","ipdc",355,5163,5552,37434,0
96,"C","ipdc",93,874,567,5680,0
97,"C","ipdc",210,1334,1799,19151,0
98,"C","ipdc",120,3213,821,10115,0
99,"C","ipdc",75,278,246,4193,0
100,"C","ipdc",201,5433,3454,15287,0
1,"C","rc",21,2103,2330,9518,0
2,"C","rc",13,1362,1679,9132,0
3,"C","rc",12,1277,1564,6829,0
4,"C","rc",21,2325,1848,10517,0
5,"C","rc",13,2289,2055,13314,0
6,"C","rc",13,1362,1679,9132,0
7,"C","rc",11,1232,1090,8012,0
8,"C","rc",13,1386,1753,11421,0
9,"C","rc",12,1293,1564,7888,0
10,"C","rc",13,1317,1745,11112,0
11,"C","rc",20,1919,1564,9756,0
12,"C","rc",31,2195,2975,14793,0
13,"C","rc",35,2105,2039,21081,0
14,"C","rc",33,2375,2821,14490,0
15,"C","rc",24,2526,2958,10268,0
16,"C","rc",12,1277,1564,6829,0
17,"C","rc",10,1151,841,5312,0
18,"C","rc",21,1980,1496,9578,0
19,"C","rc",13,1362,1679,9132,0
20,"C","rc",11,1187,1336,9992,0
21,"C","rc",13,1317,1745,11112,0
22,"C","rc",12,1362,1679,8857,0
23,"C","rc",13,2775,2296,9302,0
24,"C","rc",13,1457,1698,8857,0
25,"C","rc",11,1175,1336,9992,0
26,"C","rc",20,2671,2432,14899,0
27,"C","rc",17,1980,1496,9578,0
28,"C","rc",13,1362,1679,9132,0
29,"C","rc",13,1317,1745,11112,0
