"run","model","control","duration","cattle_culled","sheep_culled","cattlesheep_culled","cattle_vacc"
36,"A","ipdc",21,5681,19626,0,0
37,"A","ipdc",52,6743,21266,0,0
38,"A","ipdc",19,6237,21529,0,0
39,"A","ipdc",35,6234,21097,0,0
40,"A","ipdc",21,5603,29694,0,0
41,"A","ipdc",20,4293,15886,0,0
42,"A","ipdc",26,4844,22569,0,0
43,"A","ipdc",29,6335,18205,0,0
44,"A","ipdc",11,4247,18944,0,0
45,"A","ipdc",23,5037,15216,0,0
46,"A","ipdc",26,4442,16968,0,0
47,"A","ipdc",25,5256,22454,0,0
48,"A","ipdc",19,4590,16428,0,0
49,"A","ipdc",27,6533,25860,0,0
50,"A","ipdc",20,4633,25346,0,0
51,"A","ipdc",23,7843,16403,0,0
52,"A","ipdc",34,3589,15773,0,0
53,"A","ipdc",27,4770,11093,0,0
54,"A","ipdc",28,4302,11564,0,0
55,"A","ipdc",28,4619,26747,0,0
56,"A","ipdc",18,5295,19264,0,0
57,"A","ipdc",16,5628,19182,0,0
58,"A","ipdc",22,3994,15899,0,0
59,"A","ipdc",16,4554,10318,0,0
60,"A","ipdc",42,5707,17909,0,0
61,"A","ipdc",11,4404,15867,0,0
62,"A","ipdc",38,4106,13438,0,0
63,"A","ipdc",19,3712,13386,0,0
64,"A","ipdc",45,6252,26536,0,0
65,"A","ipdc",14,4872,13447,0,0
66,"A","ipdc",18,3981,15433,0,0
67,"A","ipdc",17,4450,14625,0,0
68,"A","ipdc",25,5062,16833,0,0
69,"A","ipdc",33,5167,14765,0,0
70,"A","ipdc",37,4915,20411,0,0
71,"A","ipdc",55,5134,21981,0,0
72,"A","ipdc",41,5897,20131,0,0
73,"A","ipdc",13,3937,15078,0,0
74,"A","ipdc",27,3241,13922,0,0
75,"A","ipdc",15,5348,14722,0,0
76,"A","ipdc",27,5832,17544,0,0
77,"A","ipdc",34,5484,15580,0,0
78,"A","ipdc",49,9065,32816,0,0
79,"A","ipdc",43,5394,14264,0,0
80,"A","ipdc",24,7226,17473,0,0
81,"A","ipdc",27,4508,16152,0,0
82,"A","ipdc",18,5529,22544,0,0
83,"A","ipdc",31,4663,14745,0,0
84,"A","ipdc",23,5747,16548,0,0
85,"A","ipdc",24,5569,22904,0,0
86,"A","ipdc",34,4546,15942,0,0
87,"A","ipdc",36,4698,15169,0,0
88,"A","ipdc",23,4061,16436,0,0
89,"A","ipdc",30,6428,17209,0,0
90,"A","ipdc",11,4846,18216,0,0
91,"A","ipdc",35,4684,19622,0,0
92,"A","ipdc",40,4263,14165,0,0
93,"A","ipdc",26,8127,20781,0,0
94,"A","ipdc",33,4804,24093,0,0
95,"A","ipdc",15,5593,18391,0,0
96,"A","ipdc",20,4730,13283,0,0
97,"A","ipdc",44,7150,15520,0,0
98,"A","ipdc",38,5530,22819,0,0
99,"A","ipdc",39,5741,18269,0,0
1,"A","rc",13,14946,58469,0,0
2,"A","rc",18,14233,65821,0,0
3,"A","rc",19,20785,87490,0,0
4,"A","rc",17,17753,50347,0,0
5,"A","rc",23,19651,105599,0,0
6,"A","rc",25,46179,135112,0,0
7,"A","rc",26,37403,107718,0,0
8,"A","rc",26,19164,81542,0,0
9,"A","rc",26,44228,126852,0,0
10,"A","rc",15,17600,54788,0,0
11,"A","rc",33,24810,87691,0,0
12,"A","rc",25,31636,96388,0,0
13,"A","rc",19,17001,68233,0,0
14,"A","rc",18,14684,53729,0,0
15,"A","rc",11,22278,83843,0,0
16,"A","rc",14,12547,48023,0,0
17,"A","rc",23,10950,45190,0,0
18,"A","rc",11,11499,61130,0,0
19,"A","rc",20,19691,57747,0,0
20,"A","rc",26,39933,127466,0,0
21,"A","rc",27,14733,60492,0,0
22,"A","rc",18,24577,69034,0,0
23,"A","rc",32,35117,121921,0,0
24,"A","rc",32,28852,84537,0,0
25,"A","rc",23,18328,74606,0,0
26,"A","rc",27,29713,88872,0,0
