"run","model","control","duration","cattle_culled","sheep_culled","cattlesheep_culled","cattle_vacc"
35,"E","ipdc",31,2568,11916,0,0
36,"E","ipdc",68,3249,13149,0,0
37,"E","ipdc",94,4262,23703,0,0
38,"E","ipdc",64,6289,23170,0,0
39,"E","ipdc",84,10866,40059,0,0
40,"E","ipdc",55,4995,18206,0,0
41,"E","ipdc",52,4623,21149,0,0
42,"E","ipdc",95,4845,17159,0,0
43,"E","ipdc",36,2365,11308,0,0
44,"E","ipdc",132,19249,54564,0,0
45,"E","ipdc",36,3184,13831,0,0
46,"E","ipdc",43,2254,8650,0,0
47,"E","ipdc",144,13288,55507,0,0
48,"E","ipdc",158,9317,44886,0,0
49,"E","ipdc",64,3765,20249,0,0
50,"E","ipdc",81,7101,34310,0,0
51,"E","ipdc",69,3223,12594,0,0
52,"E","ipdc",35,1981,11729,0,0
53,"E","ipdc",113,6671,35500,0,0
54,"E","ipdc",57,2524,11884,0,0
55,"E","ipdc",132,12554,65408,0,0
56,"E","ipdc",45,2365,8319,0,0
57,"E","ipdc",106,4996,25472,0,0
58,"E","ipdc",45,3091,14559,0,0
59,"E","ipdc",59,3152,18652,0,0
60,"E","ipdc",29,2607,9980,0,0
61,"E","ipdc",86,3892,20716,0,0
62,"E","ipdc",83,4923,23043,0,0
63,"E","ipdc",47,3221,16575,0,0
64,"E","ipdc",136,9897,44135,0,0
65,"E","ipdc",65,5174,18309,0,0
66,"E","ipdc",123,5117,20835,0,0
67,"E","ipdc",78,4477,16706,0,0
68,"E","ipdc",157,8618,30920,0,0
69,"E","ipdc",136,11891,34683,0,0
70,"E","ipdc",48,2192,9544,0,0
71,"E","ipdc",49,2241,12162,0,0
72,"E","ipdc",38,2106,11730,0,0
73,"E","ipdc",27,2612,8298,0,0
74,"E","ipdc",70,5199,22154,0,0
75,"E","ipdc",129,5962,23398,0,0
76,"E","ipdc",97,7772,39836,0,0
77,"E","ipdc",235,19165,68158,0,0
78,"E","ipdc",163,13366,46884,0,0
79,"E","ipdc",65,3697,24782,0,0
80,"E","ipdc",182,12905,73786,0,0
